customer_id,first_name,last_name,gender,date_of_birth,email,password_hash,membership
CU0041,Brian,Miller,male,1962-12-04,robersonnancy@example.com,429b5dfe28a2710cee6b6ce1ffc456b8296bb1fe49df6dcb069737f6694c7043,no
CU5381,Martin,Christian,female,1944-11-07,ann32@example.org,da7e994ae66d4ca648b1c6f6f5bc3be3be91551b4777146fd0398efcdc3c19af,no
CU7197,Kim,Johns,other,1960-10-04,stewartshane@example.org,18c5bd20707ff750674da884cc13a039a2e8e9d3efe46d7f9e039b13e81ceab8,no
CU0349,Douglas,Tyler,male,1934-09-30,qberry@example.com,013f9b5037a025dd4f1646e37da24050e860e98f0beb3402257afcc8be912a42,yes
CU1924,Kayla,Cooper,female,1991-09-15,lorifowler@example.net,dbfc8b180869969f3eb7eabd35c1ddf9a53b348735793cb1a7dcac1be7b37642,no
CU4035,Leslie,Sanders,female,1989-05-09,ocohen@example.net,57de529ffd54d8dd83f12fe8597dc21a7f7f51c12a5faf608cc8da67d72b15ce,yes
CU8659,Martha,Meyer,male,1963-10-27,boonedebbie@example.net,8a2bea3e41bd92f94c2344877144408ed406d9ff81078825985143894fcc1b11,no
CU8645,Robin,Barrett,other,1945-08-13,angela17@example.com,6c89b3eb29e3b04785e591c816d8eee292b7f9c6763e3fa23c8d0bef94d92084,no
CU5458,Matthew,Lopez,other,1939-08-19,alexander53@example.com,1e88c47a5ff56fb35bc340ebd636835c60f83a92c7d34c0af756847f781e99f0,yes
CU7042,Jennifer,Stout,female,1979-10-30,omaynard@example.net,e9f3bb2ded402165630f94d930bf25e7472a56cedab8bb57985b70b62a166c25,no
CU5873,Timothy,Thompson,female,2005-08-10,dgray@example.org,2c57bf0de9d5e8cd19af980f7ac31a3bcc98dcf91058f727add9b0db1d527662,yes
CU1060,Stephen,Smith,female,1991-07-07,stephanie60@example.org,38d9a1608464ab38b2691347e1cc01bcaf99d7e6b6aa1b73132e3620b0812028,yes
CU4580,William,Mann,female,1939-04-01,flynnnicholas@example.net,9a4577117e18a737266f491f24e36ead26a77f83b57f3238ad16e98869e687f4,no
CU9624,Richard,Galloway,male,1952-05-12,jjohnson@example.com,52f71092fb8b93ccbf56ff71c5fe1bebf03f888a5c6f1ffe783ce1692f0319f0,yes
CU9470,Andrew,Fields,male,1945-02-26,rbrown@example.org,94b692d80873721cd97d9646f2bcca0e50ea5b165e2739845a5de2fb9f43aa78,no
CU1232,Jimmy,Miller,female,1997-05-10,changpaul@example.com,a67f0707dd2420ba3be3603fd72a5b5475fd9289576c9e96a13090c8a4ac7fc4,no
CU0657,Diana,Moon,male,1989-11-08,irichardson@example.com,05b251f8484458ed8f116cf20883f26e8838a8ee6ec97dc979dae3c5b4172676,no
CU8735,Crystal,Pham,other,1961-05-23,figueroashawn@example.org,5cb387283faa111138622433c4fd291d685da72ab8774bd2d0f70b0226d563bf,no
CU0390,Monica,Singh,other,2004-10-07,ytorres@example.org,e381910dae4aebb950bd3ba2b0e6dde01256041ee3944cecc3c66bada5247e4f,no
CU4061,Mark,Black,female,1973-10-29,vincent85@example.org,6d724db9aef819f6a39a750904e97ff824632559674507b1a49b03e79bca7175,yes
CU7632,Matthew,Nelson,male,1970-02-26,oliviabaker@example.org,2309c715741770cd67239ab41f7da0c285342d0feee52ad6b31590e8464ab780,yes
CU7339,Christopher,Gonzalez,female,1947-10-05,leeanne@example.org,28c2ca8fe6121935e8e56c6fa96b0831ba5e21a622daea81b21886ab3d01d02d,no
CU3531,Christopher,Spencer,male,1942-12-09,kristiwebb@example.net,e3da911dc07173de7968da5ab3707399f7423b49f790610744fde24e43cd7691,no
CU4740,Anthony,Reeves,female,1993-08-27,opeterson@example.net,030a43c41b452e964ca47457d7cd819ed79f1f6c9bceb3f3833e5553f67b90dd,no
CU3705,Chelsea,Smith,other,1991-02-21,lcooper@example.org,c59d6c1e9d612b6813d626f6c77f84c3695e187b0613232563b7486f3a44f7e7,yes
CU3172,Michael,Murray,other,2003-02-08,nstewart@example.com,b4e4601425c38724660a06c9e53d9bcba04d0332deac7b5af13e7e4c1df58e68,no
CU0928,Karen,Hoover,female,1946-05-21,skinnernicholas@example.com,ad1d28c560c561dc4cc04ec6604af49878a2b982df90d1a99f8e966b2dfdd7a8,no
CU0595,Gregory,Hansen,male,1960-02-05,david48@example.net,63c012efefe2add7b9c27d2b5b93f6997568c8121e0026cd8a5bd84e7e6bdb1d,yes
CU2260,Sheryl,Williams,other,1961-07-20,owenskathy@example.net,737d78c98018f262a3faffcc7b8e757fc2333a3d6f0c5235c0075e0d880225d0,yes
CU9857,Deborah,Adams,female,1965-04-04,john78@example.net,39593b05d41f7227bfbb916b6178bddb9290f533029a101b7340496c69a26faa,no
CU7728,Joshua,Friedman,other,1946-07-01,pattersontyler@example.org,3dd71570c4a5ea74ca3baf81533eeeab902a65d9c6a3483cad950a6f397f455f,no
CU3989,Brad,Bolton,other,1943-07-13,patricia39@example.org,9f350416a4fdea517d72b9212537b302de9ed7308bae2523f9ef1ff7cb9021ba,yes
CU8764,Rachel,Clay,other,1989-09-20,janice05@example.net,dcaed656bdb98826bd485ea3a93974c2b46ca526a9d379d0d13f400a9772acdc,yes
CU6349,Hailey,Brown,female,1951-09-10,wendyhoward@example.org,a95ae36a5065d541aa48f7a87ca4fe1a6e852c3a17f7ed2cca4b18dcb6e78caf,no
